Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior
Eastern Cape,Ward 29200001,BUF,9589,0.4004588591093961,True,9.16837188715368,0.4514567032258084,2021,-0.1704370848517382,0.0833804089933341
Eastern Cape,Ward 29200002,BUF,7655,0.4416721097322011,True,8.943114308091785,0.4506156164784042,2021,-0.0248405923463208,-0.01783423146009755
Eastern Cape,Ward 29200003,BUF,9961,0.3385202288926814,True,9.206432747145165,0.45272075690370056,2021,-0.078454395399016,0.22702636117270258
Eastern Cape,Ward 29200004,BUF,9327,0.4914763589578643,True,9.140668698726863,0.4495992032289009,2021,-0.18274707428464249,0.016566757493188033
Eastern Cape,Ward 29200005,BUF,8732,0.4038021071919377,True,9.074749717669835,0.45138847367310353,2021,-0.1565576674071087,-0.05374945817078458
Eastern Cape,Ward 29200006,BUF,8023,0.4326311853421413,True,8.990067695753655,0.4508001251394258,2021,-0.11990874500492243,-0.036507745886874
Eastern Cape,Ward 29200007,BUF,7409,0.4702388986367931,True,8.910450756416656,0.45003262078647377,2021,-0.06454371005885912,0.03913043478260869
Eastern Cape,Ward 29200008,BUF,9402,0.4256541161455009,True,9.148677711584076,0.4509425143067042,2021,-0.14269199557410478,0.029791894852135847
Eastern Cape,Ward 29200009,BUF,8816,0.385095281306715,True,9.084323531392696,0.4517702456299448,2021,-0.10569143390899721,-0.027253668763102756
Eastern Cape,Ward 29200010,BUF,7641,0.4118570867687475,True,8.941283763647567,0.4512240863348012,2021,-0.1780802917672059,-0.17501619520621892
Eastern Cape,Ward 29200011,BUF,6731,0.4210369930173823,True,8.814479000010714,0.4510367413093189,2021,-0.13911387185451263,-0.12459357523735204
Eastern Cape,Ward 29200012,BUF,7749,0.4049554781262098,True,8.95531908176395,0.4513649354907714,2021,-0.131260607145108,-0.06140988372093026
Eastern Cape,Ward 29200013,BUF,8850,0.4258757062146893,True,9.088172738001974,0.45093799206039425,2021,-0.1695905242129807,0.03412012152372057
Eastern Cape,Ward 29200014,BUF,7078,0.4495620231703871,True,8.864746660905409,0.4504545978368086,2021,-0.08168797682961287,-0.07064075630252098
Eastern Cape,Ward 29200015,BUF,9785,0.488196218702095,True,9.188605879830176,0.4496661448667737,2021,-0.1283661416018836,0.09354045596781413
Eastern Cape,Ward 29200016,BUF,7662,0.4618898459932132,True,8.944028325260595,0.45020300961593457,2021,0.008656952082353175,-0.1983678593848085
Eastern Cape,Ward 29200017,BUF,7785,0.4308285163776493,True,8.959954084268098,0.45083691430196654,2021,-0.13722955984739604,0.009204044594244287
Eastern Cape,Ward 29200018,BUF,8159,0.5960289251133717,True,9.0068768914288,0.44746547738899256,2021,-0.11996874795236423,-0.05072716695753343
Eastern Cape,Ward 29200019,BUF,7315,0.4354066985645933,True,8.897682313454224,0.45074348201243697,2021,-0.15132430264167934,-0.11761158021712903
Eastern Cape,Ward 29200020,BUF,8037,0.4495458504417071,True,8.991811158212718,0.4504549278924959,2021,-0.10377884731304249,-0.13244818652849744
Eastern Cape,Ward 29200021,BUF,6889,0.4324285092175932,True,8.837681215593197,0.4508042613868656,2021,-0.0759567991677152,-0.04518364518364515
Eastern Cape,Ward 29200022,BUF,8320,0.4467548076923077,True,9.026417533815254,0.45051188794860614,2021,-0.0780859566389025,-0.11677282377919318
Eastern Cape,Ward 29200023,BUF,8386,0.4852134509897448,True,9.034318927730707,0.4497270176772299,2021,-0.07551285973656596,0.008417508417508435
Eastern Cape,Ward 29200024,BUF,7729,0.4550394617673696,True,8.952734767106872,0.45034281337564563,2021,-0.07883587698601796,-0.22422964970390447
Eastern Cape,Ward 29200025,BUF,7287,0.465486482777549,True,8.893847217670283,0.45012960886523384,2021,-0.027461331044735915,0.027785613540197485
Eastern Cape,Ward 29200026,BUF,8014,0.4207636635887197,True,8.98894529119609,0.45104231946092427,2021,-0.1926689984995122,-0.06716331044115931
Eastern Cape,Ward 29200027,BUF,8298,0.4713183899734876,True,9.023769800892813,0.450010590351031,2021,-0.12841820006482657,-0.006465517241379337
Eastern Cape,Ward 29200028,BUF,9275,0.561078167115903,True,9.135077887475635,0.44817875816445113,2021,-0.1559823702748384,0.000863278299341852
Eastern Cape,Ward 29200029,BUF,7343,0.5372463570747651,True,8.90150275745161,0.4486651216346784,2021,-0.1540288107104698,0.026705816554809747
Eastern Cape,Ward 29200030,BUF,9161,0.4085798493614234,True,9.122710622015209,0.45129096873086905,2021,-0.15077291950452726,0.27786302134188867
