Province,Ward,MunicipalityCode,Municipality_2016,Municipality_2021,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021
Eastern Cape,Ward 29200001,BUF,BUF - Buffalo City,BUF - Buffalo City,8851,5053,0.5708959439611343,9589,3840,0.40045885910939616
Eastern Cape,Ward 29200002,BUF,BUF - Buffalo City,BUF - Buffalo City,7794,3636,0.4665127020785219,7655,3381,0.44167210973220117
Eastern Cape,Ward 29200003,BUF,BUF - Buffalo City,BUF - Buffalo City,8118,3385,0.41697462429169746,9961,3372,0.33852022889268146
Eastern Cape,Ward 29200004,BUF,BUF - Buffalo City,BUF - Buffalo City,9175,6186,0.6742234332425068,9327,4584,0.4914763589578643
Eastern Cape,Ward 29200005,BUF,BUF - Buffalo City,BUF - Buffalo City,9228,5171,0.5603597745990464,8732,3526,0.4038021071919377
Eastern Cape,Ward 29200006,BUF,BUF - Buffalo City,BUF - Buffalo City,8327,4601,0.5525399303470637,8023,3471,0.43263118534214134
Eastern Cape,Ward 29200007,BUF,BUF - Buffalo City,BUF - Buffalo City,7130,3813,0.5347826086956522,7409,3484,0.4702388986367931
Eastern Cape,Ward 29200008,BUF,BUF - Buffalo City,BUF - Buffalo City,9130,5189,0.5683461117196057,9402,4002,0.42565411614550097
Eastern Cape,Ward 29200009,BUF,BUF - Buffalo City,BUF - Buffalo City,9063,4448,0.4907867152157122,8816,3395,0.38509528130671505
Eastern Cape,Ward 29200010,BUF,BUF - Buffalo City,BUF - Buffalo City,9262,5464,0.5899373785359534,7641,3147,0.41185708676874755
Eastern Cape,Ward 29200011,BUF,BUF - Buffalo City,BUF - Buffalo City,7689,4307,0.5601508648718949,6731,2834,0.4210369930173823
Eastern Cape,Ward 29200012,BUF,BUF - Buffalo City,BUF - Buffalo City,8256,4427,0.5362160852713178,7749,3138,0.40495547812620986
Eastern Cape,Ward 29200013,BUF,BUF - Buffalo City,BUF - Buffalo City,8558,5096,0.59546623042767,8850,3769,0.4258757062146893
Eastern Cape,Ward 29200014,BUF,BUF - Buffalo City,BUF - Buffalo City,7616,4046,0.53125,7078,3182,0.4495620231703871
Eastern Cape,Ward 29200015,BUF,BUF - Buffalo City,BUF - Buffalo City,8948,5517,0.6165623603039786,9785,4777,0.48819621870209506
Eastern Cape,Ward 29200016,BUF,BUF - Buffalo City,BUF - Buffalo City,9558,4332,0.45323289391086,7662,3539,0.46188984599321325
Eastern Cape,Ward 29200017,BUF,BUF - Buffalo City,BUF - Buffalo City,7714,4382,0.5680580762250453,7785,3354,0.43082851637764935
Eastern Cape,Ward 29200018,BUF,BUF - Buffalo City,BUF - Buffalo City,8595,6154,0.7159976730657359,8159,4863,0.5960289251133717
Eastern Cape,Ward 29200019,BUF,BUF - Buffalo City,BUF - Buffalo City,8290,4864,0.5867310012062726,7315,3185,0.4354066985645933
Eastern Cape,Ward 29200020,BUF,BUF - Buffalo City,BUF - Buffalo City,9264,5126,0.5533246977547496,8037,3613,0.4495458504417071
Eastern Cape,Ward 29200021,BUF,BUF - Buffalo City,BUF - Buffalo City,7215,3668,0.5083853083853084,6889,2979,0.43242850921759324
Eastern Cape,Ward 29200022,BUF,BUF - Buffalo City,BUF - Buffalo City,9420,4944,0.5248407643312102,8320,3717,0.4467548076923077
Eastern Cape,Ward 29200023,BUF,BUF - Buffalo City,BUF - Buffalo City,8316,4663,0.5607263107263107,8386,4069,0.48521345098974483
Eastern Cape,Ward 29200024,BUF,BUF - Buffalo City,BUF - Buffalo City,9963,5319,0.5338753387533876,7729,3517,0.45503946176736965
Eastern Cape,Ward 29200025,BUF,BUF - Buffalo City,BUF - Buffalo City,7090,3495,0.4929478138222849,7287,3392,0.46548648277754906
Eastern Cape,Ward 29200026,BUF,BUF - Buffalo City,BUF - Buffalo City,8591,5270,0.6134326620882319,8014,3372,0.42076366358871975
