Province,Ward,MunicipalityCode,RegisteredVoters_2011,VotesCast_2011,Turnout_2011,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021,TurnoutDelta_2011_2016,RegistrationGrowth_2011_2016
Eastern Cape,Ward 29200001,BUF,6708,3699,0.5514311270125224,8851,5053,0.5708959439611343,9589,3840,0.4004588591093961,0.019464816948611907,0.3194692903995229
Eastern Cape,Ward 29200002,BUF,6873,3591,0.522479266695766,7794,3636,0.4665127020785219,7655,3381,0.4416721097322011,-0.05596656461724414,0.1340026189436927
Eastern Cape,Ward 29200003,BUF,7210,2770,0.3841886269070735,8118,3385,0.4169746242916974,9961,3372,0.3385202288926814,0.0327859973846239,0.1259361997226074
Eastern Cape,Ward 29200004,BUF,7762,5242,0.6753414068539036,9175,6186,0.6742234332425068,9327,4584,0.4914763589578643,-0.001117973611396872,0.18204071115691822
Eastern Cape,Ward 29200005,BUF,8054,4611,0.5725105537621058,9228,5171,0.5603597745990464,8732,3526,0.4038021071919377,-0.0121507791630594,0.14576607896697302
Eastern Cape,Ward 29200006,BUF,6518,3814,0.5851488186560294,8327,4601,0.5525399303470637,8023,3471,0.4326311853421413,-0.03260888830896569,0.2775391224301933
Eastern Cape,Ward 29200007,BUF,7320,3873,0.5290983606557377,7130,3813,0.5347826086956522,7409,3484,0.4702388986367931,0.005684248039914519,-0.025956284153005438
Eastern Cape,Ward 29200008,BUF,6736,3599,0.5342933491686461,9130,5189,0.5683461117196057,9402,4002,0.4256541161455009,0.03405276255095957,0.3554038004750595
Eastern Cape,Ward 29200009,BUF,9063,4665,0.5147302217808672,9063,4448,0.4907867152157122,8816,3395,0.385095281306715,-0.023943506565155037,0.0
Eastern Cape,Ward 29200010,BUF,7955,4441,0.5582652419861722,9262,5464,0.5899373785359534,7641,3147,0.4118570867687475,0.03167213654978118,0.16429918290383405
Eastern Cape,Ward 29200011,BUF,8177,4684,0.5728262198850435,7689,4307,0.5601508648718949,6731,2834,0.4210369930173823,-0.012675355013148537,-0.059679589091353846
Eastern Cape,Ward 29200012,BUF,8400,5030,0.5988095238095238,8256,4427,0.5362160852713178,7749,3138,0.4049554781262098,-0.06259343853820598,-0.017142857142857126
Eastern Cape,Ward 29200013,BUF,8017,4886,0.6094549083198204,8558,5096,0.59546623042767,8850,3769,0.4258757062146893,-0.013988677892150414,0.0674816015966071
Eastern Cape,Ward 29200014,BUF,6374,3526,0.5531848133040477,7616,4046,0.53125,7078,3182,0.4495620231703871,-0.021934813304047673,0.1948540947599624
Eastern Cape,Ward 29200015,BUF,8202,4921,0.599975615703487,8948,5517,0.6165623603039786,9785,4777,0.488196218702095,0.016586744600491587,0.09095342599366019
Eastern Cape,Ward 29200016,BUF,8430,4790,0.5682087781731909,9558,4332,0.45323289391086,7662,3539,0.4618898459932132,-0.11497588426233091,0.1338078291814946
Eastern Cape,Ward 29200017,BUF,7543,4101,0.5436828847938486,7714,4382,0.5680580762250453,7785,3354,0.4308285163776493,0.024375191431196708,0.02267002518891692
Eastern Cape,Ward 29200018,BUF,6928,4332,0.6252886836027713,8595,6154,0.7159976730657359,8159,4863,0.5960289251133717,0.09070898946296457,0.24061778290993074
Eastern Cape,Ward 29200019,BUF,6393,3539,0.5535742218050993,8290,4864,0.5867310012062726,7315,3185,0.4354066985645933,0.03315677940117334,0.2967307993117472
Eastern Cape,Ward 29200020,BUF,6614,3404,0.5146658602963411,9264,5126,0.5533246977547496,8037,3613,0.4495458504417071,0.03865883745840848,0.400665255518597
Eastern Cape,Ward 29200021,BUF,7855,4431,0.5640992998090388,7215,3668,0.5083853083853084,6889,2979,0.4324285092175932,-0.05571399142373046,-0.0814767663908339
Eastern Cape,Ward 29200022,BUF,8363,4844,0.5792179839770417,9420,4944,0.5248407643312102,8320,3717,0.4467548076923077,-0.05437721964583153,0.12639005141695558
Eastern Cape,Ward 29200023,BUF,7723,4241,0.5491389356467694,8316,4663,0.5607263107263107,8386,4069,0.4852134509897448,0.011587375079541329,0.07678363330312066
Eastern Cape,Ward 29200024,BUF,8332,4487,0.5385261641862698,9963,5319,0.5338753387533876,7729,3517,0.4550394617673696,-0.0046508254328822,0.19575132021123376
Eastern Cape,Ward 29200025,BUF,7448,3454,0.4637486573576799,7090,3495,0.4929478138222849,7287,3392,0.465486482777549,0.029199156464605025,-0.04806659505907629
Eastern Cape,Ward 29200026,BUF,8517,5487,0.6442409299048961,8591,5270,0.6134326620882319,8014,3372,0.4207636635887197,-0.030808267816664237,0.008688505342256736
Eastern Cape,Ward 29200027,BUF,8845,5735,0.6483889202939513,8352,5009,0.5997365900383141,8298,3911,0.4713183899734876,-0.0486523302556372,-0.05573770491803276
Eastern Cape,Ward 29200028,BUF,8382,5444,0.6494869959436889,9267,6645,0.7170605373907414,9275,5204,0.561078167115903,0.06757354144705252,0.10558339298496788
Eastern Cape,Ward 29200029,BUF,8597,5657,0.6580202396184716,7152,4944,0.6912751677852349,7343,3945,0.5372463570747651,0.03325492816676334,-0.16808188903105736
Eastern Cape,Ward 29200030,BUF,6633,4110,0.6196291270918136,7169,4010,0.5593527688659506,9161,3743,0.4085798493614234,-0.06027635822586297,0.08080808080808088
Eastern Cape,Ward 29200031,BUF,8626,5447,0.6314630187804312,8541,4932,0.5774499473129611,9070,4643,0.5119073869900772,-0.05401307146747014,-0.009853929979132814
Eastern Cape,Ward 29200032,BUF,8554,5333,0.6234510170680383,8147,4687,0.5753037928071683,7441,3962,0.5324553151458138,-0.048147224260870036,-0.047580079494973115
Eastern Cape,Ward 29200033,BUF,8750,5125,0.5857142857142857,8451,5058,0.5985090521831736,7732,3779,0.4887480600103466,0.012794766468887886,-0.03417142857142852
Eastern Cape,Ward 29200034,BUF,7864,4429,0.5631993896236012,8434,4459,0.5286933839222195,7972,3862,0.4844455594581033,-0.034506005701381626,0.07248219735503558
Eastern Cape,Ward 29200035,BUF,7559,4256,0.5630374388146581,9163,5195,0.5669540543490124,8786,4298,0.4891873435010243,0.003916615534354295,0.21219738060590032
Eastern Cape,Ward 29200036,BUF,8411,4638,0.5514207585304958,7429,4151,0.558756225602369,6940,2541,0.3661383285302593,0.0073354670718732695,-0.11675187254785402
Eastern Cape,Ward 29200037,BUF,6674,3317,0.4970032963739886,9264,4903,0.5292530224525043,8891,3568,0.4013046901360926,0.03224972607851567,0.38807311956847457
Eastern Cape,Ward 29200038,BUF,7840,3994,0.5094387755102041,8058,4321,0.5362372797220154,7659,3198,0.4175479827653741,0.02679850421181129,0.02780612244897962
Eastern Cape,Ward 29200039,BUF,7672,4049,0.5277632950990615,8603,4744,0.5514355457398582,8069,3708,0.4595364977072748,0.0236722506407967,0.12135036496350371
Eastern Cape,Ward 29200040,BUF,6798,3928,0.577817005001471,9093,5025,0.5526228967337512,8360,4406,0.5270334928229665,-0.02519410826771984,0.33759929390997345
Eastern Cape,Ward 29200041,BUF,8093,4120,0.509081922649203,7485,3367,0.4498329993319973,6641,2617,0.3940671585604577,-0.05924892331720577,-0.07512665266279506
Eastern Cape,Ward 29200042,BUF,7833,4073,0.5199795735988766,6990,3799,0.5434907010014306,6860,3018,0.4399416909620991,0.02351112740255401,-0.10762160091918804
Eastern Cape,Ward 29200043,BUF,8733,4389,0.5025764342150464,8796,4364,0.4961346066393815,8395,3748,0.4464562239428231,-0.00644182757566486,0.007214015802129881
