Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,AFRICAN CHRISTIAN DEMOCRATIC PARTY,3,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,AFRICAN INDEPENDENT CONGRESS,19,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,AFRICAN NATIONAL CONGRESS,347,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,CONGRESS  OF THE PEOPLE,7,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,DEMOCRATIC ALLIANCE,751,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,ECONOMIC FREEDOM FIGHTERS,18,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,PAN AFRICANIST CONGRESS OF AZANIA,1,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,PAN AFRICANIST MOVEMENT,0,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,PEOPLES ALLIANCE,0,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,UNITED CONGRESS,0,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,UNITED DEMOCRATIC MOVEMENT,5,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,PR,21,UNITED FRONT OF THE EASTERN CAPE,1,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,AFRICAN CHRISTIAN DEMOCRATIC PARTY,4,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,AFRICAN INDEPENDENT CONGRESS,18,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,AFRICAN NATIONAL CONGRESS,355,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,CONGRESS  OF THE PEOPLE,5,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,DEMOCRATIC ALLIANCE,760,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,ECONOMIC FREEDOM FIGHTERS,17,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,PAN AFRICANIST CONGRESS OF AZANIA,2,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590151,PEFFERVILLE CLINIC,2230,Ward,16,UNITED FRONT OF THE EASTERN CAPE,3,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,AFRICAN CHRISTIAN DEMOCRATIC PARTY,14,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,AFRICAN INDEPENDENT CONGRESS,9,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,AFRICAN NATIONAL CONGRESS,206,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,CONGRESS  OF THE PEOPLE,1,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,DEMOCRATIC ALLIANCE,858,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,ECONOMIC FREEDOM FIGHTERS,52,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,PAN AFRICANIST CONGRESS OF AZANIA,4,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,PAN AFRICANIST MOVEMENT,0,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,PEOPLES ALLIANCE,1,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,UNITED CONGRESS,0,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,UNITED DEMOCRATIC MOVEMENT,8,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,PR,7,UNITED FRONT OF THE EASTERN CAPE,1,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,Ward,3,AFRICAN CHRISTIAN DEMOCRATIC PARTY,10,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,Ward,3,AFRICAN INDEPENDENT CONGRESS,6,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,Ward,3,AFRICAN NATIONAL CONGRESS,207,8/11/2016 4:13:42 PM
Eastern Cape,BUF - Buffalo City,Ward 29200001,10590588,EAST LONDON HIGH SCHOOL,2072,Ward,3,CONGRESS  OF THE PEOPLE,6,8/11/2016 4:13:42 PM
