Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,ACADEMIC CONGRESS UNION,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AFRICAN CHRISTIAN DEMOCRATIC PARTY,10,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AFRICAN INDEPENDENT CONGRESS,5,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AFRICAN NATIONAL CONGRESS,428,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AFRICAN PEOPLE'S CONVENTION,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AFRICAN PEOPLE'S SOCIALIST PARTY,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AGANG SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AL JAMA-AH,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,AZANIAN PEOPLE'S ORGANISATION,1,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,BUILDING A COHESIVE SOCIETY,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,CONGRESS  OF THE PEOPLE,1,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,DEMOCRATIC ALLIANCE,335,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,ECONOMIC FREEDOM FIGHTERS,247,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,EKURHULENI COMMUNITY MOVEMENT,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,INDEPENDENT RATEPAYERS ASSOCIATION OF SA,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,INKATHA FREEDOM PARTY,1,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,INTERNATIONAL REVELATION CONGRESS,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,PALMRIDGE COMMUNITY FORUM,0,2/16/2017 5:01:24 PM
Gauteng,EKU - Ekurhuleni,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,PR,6,PAN AFRICAN SOCIALIST MOVEMENT OF AZANIA,0,2/16/2017 5:01:24 PM
