Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,AFRICAN NATIONAL CONGRESS,304,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,CONGRESS  OF THE PEOPLE,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,DEMOCRATIC ALLIANCE,134,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,ECONOMIC FREEDOM FIGHTERS,4,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,KHOISAN REVOLUTION,4,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,DC 40%,3,VRYHEIDSFRONT PLUS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,PR,2,AFRICAN NATIONAL CONGRESS,308,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,PR,2,DEMOCRATIC ALLIANCE,135,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,PR,2,ECONOMIC FREEDOM FIGHTERS,7,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,Ward,10,AFRICAN NATIONAL CONGRESS,299,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,Ward,10,DEMOCRATIC ALLIANCE,139,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800010,KUBOES MUNICIPALITY HALL,716,Ward,10,ECONOMIC FREEDOM FIGHTERS,8,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,AFRICAN NATIONAL CONGRESS,112,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,CONGRESS  OF THE PEOPLE,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,DEMOCRATIC ALLIANCE,101,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,ECONOMIC FREEDOM FIGHTERS,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,KHOISAN REVOLUTION,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,DC 40%,3,VRYHEIDSFRONT PLUS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,PR,4,AFRICAN NATIONAL CONGRESS,115,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,PR,4,DEMOCRATIC ALLIANCE,101,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,PR,4,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,Ward,2,AFRICAN NATIONAL CONGRESS,114,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,Ward,2,DEMOCRATIC ALLIANCE,104,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800021,EKSTEENFONTEIN COMMUNITY HALL,391,Ward,2,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,AFRICAN NATIONAL CONGRESS,8,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,CONGRESS  OF THE PEOPLE,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,DEMOCRATIC ALLIANCE,17,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,KHOISAN REVOLUTION,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,DC 40%,0,VRYHEIDSFRONT PLUS,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,PR,0,AFRICAN NATIONAL CONGRESS,9,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,PR,0,DEMOCRATIC ALLIANCE,17,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,PR,0,ECONOMIC FREEDOM FIGHTERS,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,Ward,0,AFRICAN NATIONAL CONGRESS,9,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,Ward,0,DEMOCRATIC ALLIANCE,17,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800043,DIE GROENSAAL,87,Ward,0,ECONOMIC FREEDOM FIGHTERS,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,AFRICAN NATIONAL CONGRESS,130,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,CONGRESS  OF THE PEOPLE,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,DEMOCRATIC ALLIANCE,62,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,KHOISAN REVOLUTION,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,DC 40%,1,VRYHEIDSFRONT PLUS,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,PR,0,AFRICAN NATIONAL CONGRESS,130,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,PR,0,DEMOCRATIC ALLIANCE,63,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,PR,0,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,Ward,0,AFRICAN NATIONAL CONGRESS,129,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,Ward,0,DEMOCRATIC ALLIANCE,63,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601001,65800054,LEKKERSING COMMUNITY HALL,359,Ward,0,ECONOMIC FREEDOM FIGHTERS,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,AFRICAN NATIONAL CONGRESS,197,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,CONGRESS  OF THE PEOPLE,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,DEMOCRATIC ALLIANCE,260,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,ECONOMIC FREEDOM FIGHTERS,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,KHOISAN REVOLUTION,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,DC 40%,5,VRYHEIDSFRONT PLUS,3,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,PR,6,AFRICAN NATIONAL CONGRESS,195,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,PR,6,DEMOCRATIC ALLIANCE,267,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,PR,6,ECONOMIC FREEDOM FIGHTERS,1,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,Ward,4,AFRICAN NATIONAL CONGRESS,197,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,Ward,4,DEMOCRATIC ALLIANCE,266,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65800032,SANDDRIFT COMMUNITY HALL,856,Ward,4,ECONOMIC FREEDOM FIGHTERS,2,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,AFRICAN NATIONAL CONGRESS,212,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,CONGRESS  OF THE PEOPLE,0,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,DEMOCRATIC ALLIANCE,187,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,ECONOMIC FREEDOM FIGHTERS,5,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,KHOISAN REVOLUTION,4,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,DC 40%,30,VRYHEIDSFRONT PLUS,3,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,PR,16,AFRICAN NATIONAL CONGRESS,224,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,PR,16,DEMOCRATIC ALLIANCE,194,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,PR,16,ECONOMIC FREEDOM FIGHTERS,7,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,Ward,16,AFRICAN NATIONAL CONGRESS,227,8/15/2016 4:02:49 PM
Northern Cape,NC061 - RICHTERSVELD,Ward 30601002,65840014,N ORSMONDSAAL ALEXANDER BAY,973,Ward,16,DEMOCRATIC ALLIANCE,192,8/15/2016 4:02:49 PM
