Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,AFRICAN CHRISTIAN DEMOCRATIC PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,AFRICAN NATIONAL CONGRESS,558,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,AFRICAN PEOPLE'S CONVENTION,4,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,CIVIC WARRIORS OF MARULENG,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,CONGRESS  OF THE PEOPLE,2,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,DEMOCRATIC ALLIANCE,7,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,ECONOMIC FREEDOM FIGHTERS,63,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,NATIONAL INDEPENDENT PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,PAN AFRICANIST CONGRESS OF AZANIA,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,UNITED DEMOCRATIC MOVEMENT,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,VRYHEIDSFRONT PLUS,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,DC 40%,4,XIMOKO PARTY,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,AFRICAN CHRISTIAN DEMOCRATIC PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,AFRICAN FREEDOM SALVATION,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,AFRICAN NATIONAL CONGRESS,555,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,AFRICAN PEOPLE'S CONVENTION,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,CONGRESS  OF THE PEOPLE,2,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,DEMOCRATIC ALLIANCE,2,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,ECONOMIC FREEDOM FIGHTERS,65,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,NATIONAL INDEPENDENT PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,UNITED DEMOCRATIC MOVEMENT,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,PR,4,XIMOKO PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,AFRICAN CHRISTIAN DEMOCRATIC PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,AFRICAN FREEDOM SALVATION,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,AFRICAN NATIONAL CONGRESS,560,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,AFRICAN PEOPLE'S CONVENTION,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,DEMOCRATIC ALLIANCE,8,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,ECONOMIC FREEDOM FIGHTERS,63,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140053,N`WAMAVIMBI HIGH SCHOOL,1335,Ward,4,XIMOKO PARTY,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,AFRICAN CHRISTIAN DEMOCRATIC PARTY,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,AFRICAN NATIONAL CONGRESS,530,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,AFRICAN PEOPLE'S CONVENTION,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,CIVIC WARRIORS OF MARULENG,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,CONGRESS  OF THE PEOPLE,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,DEMOCRATIC ALLIANCE,54,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,ECONOMIC FREEDOM FIGHTERS,33,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,NATIONAL INDEPENDENT PARTY,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,PAN AFRICANIST CONGRESS OF AZANIA,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,UNITED DEMOCRATIC MOVEMENT,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,VRYHEIDSFRONT PLUS,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,DC 40%,21,XIMOKO PARTY,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,AFRICAN CHRISTIAN DEMOCRATIC PARTY,1,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,AFRICAN FREEDOM SALVATION,0,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,AFRICAN NATIONAL CONGRESS,525,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,AFRICAN PEOPLE'S CONVENTION,3,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,CONGRESS  OF THE PEOPLE,6,8/11/2016 2:17:36 PM
Limpopo,LIM331 - Greater Giyani,Ward 93301001,76140064,XIMUWINI PRIMARY SCHOOL,1373,PR,21,DEMOCRATIC ALLIANCE,57,8/11/2016 2:17:36 PM
