Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AFRICA MUSLIM PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AFRICAN INDEPENDENT CONGRESS,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AFRICAN NATIONAL CONGRESS,155,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AFRICAN PEOPLE'S CONVENTION,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AL JAMA-AH,7,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,AL SHURA PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,CAPE MUSLIM CONGRESS,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,CAPE PARTY/ KAAPSE PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,CHRISTIAN DEMOCRATIC PARTY,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,COLOURED VOICE,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,CONGRESS  OF THE PEOPLE,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,DEMOCRATIC ALLIANCE,2760,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,DEMOCRATIC INDEPENDENT PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,ECONOMIC FREEDOM FIGHTERS,48,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,INDEPENDENT SPORT PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,INKATHA FREEDOM PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,KHOISAN KINGDOM AND ALL PEOPLE,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,KHOISAN REVOLUTION,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,LOCAL PEOPLE'S PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,NATIONAL PARTY SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,NATIONAL PEOPLE'S PARTY,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,PAN AFRICANIST CONGRESS OF AZANIA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,PATRIOTIC ALLIANCE,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,PATRIOTIC ASSOCIATION OF SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,PEOPLE'S DEMOCRATIC MOVEMENT,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,SIZWE UMMAH NATION,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,SOUTH AFRICA PEOPLE'S PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,SOUTH AFRICAN PEOPLE FOR EQUALITY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,SOUTH AFRICAN PROGRESSIVE CIVIC ORGANISATION,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,THE GREENS,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,UBUNTU PARTY,4,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,UNITED DEMOCRATIC MOVEMENT,2,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,PR,18,VRYHEIDSFRONT PLUS,49,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AFRICA MUSLIM PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AFRICAN CHRISTIAN DEMOCRATIC PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AFRICAN INDEPENDENT CONGRESS,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AFRICAN NATIONAL CONGRESS,145,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AL JAMA-AH,7,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,AL SHURA PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,CAPE MUSLIM CONGRESS,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,CAPE PARTY/ KAAPSE PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,CHRISTIAN DEMOCRATIC PARTY,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,COLOURED VOICE,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,DEMOCRATIC ALLIANCE,2760,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,DEMOCRATIC INDEPENDENT PARTY,11,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,ECONOMIC FREEDOM FIGHTERS,48,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,INDEPENDENT SPORT PARTY,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,NATIONAL PARTY SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,NATIONAL PEOPLE'S PARTY,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,PAN AFRICANIST CONGRESS OF AZANIA,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,PATRIOTIC ALLIANCE,1,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,PEOPLE'S DEMOCRATIC MOVEMENT,0,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,UBUNTU PARTY,4,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140012,RICHWOOD COMMUNITY HALL,3844,Ward,0,VRYHEIDSFRONT PLUS,49,2/16/2017 5:01:24 PM
Western Cape,CPT - City of Cape Town,Ward 19100001,97140078,PANORAMA PRIMARY SCHOOL,4087,PR,16,AFRICA MUSLIM PARTY,1,2/16/2017 5:01:24 PM
