Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,AFRICAN NATIONAL CONGRESS,725,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,AFRICAN TRANSFORMATION MOVEMENT,2,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,DEMOCRATIC ALLIANCE,80,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,ECONOMIC FREEDOM FIGHTERS,81,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,UNITED RESIDENTS FRONT,6,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,DC 40%,23,VRYHEIDSFRONT PLUS,15,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,AFRICAN CHRISTIAN DEMOCRATIC PARTY,8,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,AFRICAN NATIONAL CONGRESS,746,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,AFRICAN TRANSFORMATION MOVEMENT,1,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,DEMOCRATIC ALLIANCE,71,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,ECONOMIC FREEDOM FIGHTERS,79,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,PR,13,VRYHEIDSFRONT PLUS,14,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,Ward,16,AFRICAN CHRISTIAN DEMOCRATIC PARTY,8,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,Ward,16,AFRICAN NATIONAL CONGRESS,731,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,Ward,16,DEMOCRATIC ALLIANCE,81,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,Ward,16,ECONOMIC FREEDOM FIGHTERS,81,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,21940017,JOHANNES MOKOPANE HALL,1991,Ward,16,VRYHEIDSFRONT PLUS,15,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,22100016,RAMDAM FARM SHED,113,DC 40%,1,AFRICAN NATIONAL CONGRESS,5,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,22100016,RAMDAM FARM SHED,113,DC 40%,1,AFRICAN TRANSFORMATION MOVEMENT,0,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,22100016,RAMDAM FARM SHED,113,DC 40%,1,DEMOCRATIC ALLIANCE,14,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,22100016,RAMDAM FARM SHED,113,DC 40%,1,ECONOMIC FREEDOM FIGHTERS,0,11/23/2021 4:31:57 PM
Free State,FS161 - Letsemeng,Ward 41601001,22100016,RAMDAM FARM SHED,113,DC 40%,1,UNITED RESIDENTS FRONT,0,11/23/2021 4:31:57 PM
