Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,ABANTU BATHO CONGRESS,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICA RESTORATION ALLIANCE,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICAN CHRISTIAN DEMOCRATIC PARTY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICAN INDEPENDENT CONGRESS,3,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICAN NATIONAL CONGRESS,115,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICAN PEOPLE'S CONVENTION,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AFRICAN TRANSFORMATION MOVEMENT,1,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AL JAMA-AH,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,ARONA,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,AZANIAN PEOPLE'S ORGANISATION,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,BOTHO COMMUNITY MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,CHRISTIAN AMBASSADORS POLITICAL PARTY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,CONGRESS  OF THE PEOPLE,3,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,DEMOCRATIC ALLIANCE,4,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,ECONOMIC FREEDOM FIGHTERS,68,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,FORUM 4 SERVICE DELIVERY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,INKATHA FREEDOM PARTY,2,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,OUR CITY MATTERS,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,SAVE MADIBENG,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,THE PEOPLE'S VOICE,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,TSOGANG CIVIC MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,UNITED CHRISTIAN DEMOCRATIC PARTY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,UNITED DEMOCRATIC MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,UNITED INDEPENDENT MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,DC 40%,4,VRYHEIDSFRONT PLUS,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,AFRICAN INDEPENDENT CONGRESS,4,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,AFRICAN NATIONAL CONGRESS,112,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,AFRICAN PEOPLE'S MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,AFRICAN TRANSFORMATION MOVEMENT,2,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,AGENDA TO CITIZENRY GOVERNORS,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,CONGRESS  OF THE PEOPLE,3,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,DEFENDERS OF THE PEOPLE,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,DEMOCRATIC ALLIANCE,5,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,DISABILITY AND OLDER PERSON POLITICAL PARTY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,ECONOMIC EMANCIPATION FORUM,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,ECONOMIC FREEDOM FIGHTERS,70,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,FORUM 4 SERVICE DELIVERY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,INKATHA FREEDOM PARTY,2,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,THE PEOPLE'S VOICE,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,TSOGANG CIVIC MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,PR,2,UNITED CHRISTIAN DEMOCRATIC PARTY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,AFRICAN INDEPENDENT CONGRESS,1,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,AFRICAN NATIONAL CONGRESS,109,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,AFRICAN PEOPLE'S MOVEMENT,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,AFRICAN TRANSFORMATION MOVEMENT,1,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,AGENDA TO CITIZENRY GOVERNORS,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,CONGRESS  OF THE PEOPLE,4,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,DEMOCRATIC ALLIANCE,5,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,ECONOMIC EMANCIPATION FORUM,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,ECONOMIC FREEDOM FIGHTERS,77,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,FORUM 4 SERVICE DELIVERY,0,1/28/2022 12:10:24 PM
North West,NW371 - Moretele,Ward 63701001,86660118,MOROKWA - DITLOU PRIMARY SCHOOL,615,Ward,3,THE PEOPLE'S VOICE,0,1/28/2022 12:10:24 PM
